;;;;;;;;;;
Axe;Critère;1 (Marqué);2 (Tendance);3 (Tendance);4 (Marqué);Définition technique;À l'écoute;Exemple concret;Rapprochement Texte (principes);Rapprochement Texte (marqueurs)
Identité;Genre;1 - Très Masculin;2 - Masculin;3 - Féminin;4 - Très Féminin;Spectre de l'identité vocale perçue.;La voix présente-t-elle des résonances masculine ou féminine plutôt standards ou très typées ?;"2/3 : Voix claires du quotidien. 1/4 : Voix à forte signature hormonale ou théâtrale. (1 mâle alpha ; 4 femme-enfant)";Priorité aux niveaux 2 et 3. Réserve 1 et 4 uniquement si le texte souligne un trait physique extrême.;"Adjectifs de puissance (""voix de stentor"", ""basse-taille"") ou de finesse (""voix de cristal"", ""soprano""). Comportement de genre très stéréotypé."
Identité;Âge;1 - Très Jeune (Enfant);2 - Adolescent / Jeune Adulte;3 - Adulte Mûr;4 - Senior (Âgé/Cassé);Maturité de la structure harmonique.;La voix est-elle légère et agile ou lourde et dense ?;1: Enfant de chœur / 4: Grand-père au coin du feu.;Âge chronologique, rôle social (fils vs grand-père), statut.;Didascalies explicites ou rapports de filiation. Présence de termes liés à la jeunesse (insouciance) vs vieillesse (sagesse, fatigue).
Identité;Tonalité;1 - Très Grave (Basse);2 - Médium-Grave;3 - Médium-Aigu;4 - Très Aigu (Soprano);Hauteur de la note fondamentale (Hz).;Le son vibre-t-il dans le thorax ou dans la tête ?;1: Contrebasse (Barry White) / 4: Flûte (Minnie Mouse).;Contraste de genre ou besoin de distinction entre deux personnages proches.;"Indices physiques dans le texte (""voix de stentor"", ""petit filet de voix""). Sert surtout à créer un contraste si deux personnages de même genre s'opposent."
Qualité;Fiabilité Narrative;1 - Faible;2 - Moyenne;3 - Bonne;4 - Très bonne;Stabilité prosodique et respect ponctuation.;"Capacité à tenir des longs monologues et marquer les ""!"" ou ""..."".";1: Voix GPS qui s'essouffle / 4: Comédien qui respecte chaque point virgule.;"Privilégier les voix ""Très bonne"" pour les personnages principaux et ceux qui ont des répliques longues";Volume de texte par réplique. Analyse de la longueur des tirades. Un personnage qui a 80% du texte a besoin d'une fiabilité maximale.
Usage;Registre;1 - Relâché (Argot);2 - Familier;3 - Standard;4 - Châtié (Précieux);Niveau de précision de la diction.;L'articulation est-elle relâchée (élisions) ou précieuse (toutes les syllabes marquées) ?;1: Titi parisien (élisions) / 4: Présentateur du JT (chaque syllabe pèse).;Niveau de langue : Argot, vulgarité, modernité vs Vers, langage soutenu, aristocratie.;"Adjectifs de texture dans les descriptions (""voix limpide"", ""rauque"", ""brisée""). Analyse du passé du personnage (vécu difficile = texture forte)."
Usage;Projection;1 - Chuchoté;2 - Intime (Narrateur);3 - Direct (Parlé haut);4 - Exclamatif (Théâtral);Placement spatial de la voix.;La voix est-elle murmurée à l'oreille ou porte-t-elle comme sur scène ?;1: Confidence sous la couette / 4: Harangue sur la place publique.;Situation de parole : Confidence, aparté, secret vs Discours public, harangue, autorité.;Analyse de l'empathie. Le personnage utilise-t-il des termes de soutien ou de jugement ? Est-il dans le partage ou l'isolement ?
Usage;Vitesse;1 - Très Lente;2 - Posée;3 - Allante;4 - Trépidante;Débit naturel (mots/minute).;Quel est le rythme par défaut de la voix sans modification SSML ?;1: Paresseux qui pèse ses mots / 4: Commentateur de turf.;Tempérament : Réflexion lente, hésitation vs Esprit vif, débit rapide, loquacité.;"Ponctuation et Verbes d'action. Abondance de ""!"" et ""?"" vs phrases longues et calmes. Verbes de mouvement vs verbes d'état."
Matière;Texture;1 - Lisse / Pure;2 - Satinée;3 - Voilée;4 - Granuleuse;Rugosité et résonance (ADN + Grain).;La surface du son est-elle pure (lisse) ou présente-t-elle du relief (râpeux) ?;1: Cristal poli (Parfaitement lisse) / 4: Écorce de chêne (Rauque, cassé).;"Personnage ""neuf/pur"" vs personnage ""usé/marqué par la vie"".";Contexte de la scène. S'agit-il d'un aparté (chuchoté) ou d'un discours devant une assemblée ? Statut social (le dominant projette plus).
Émotion;Température;1 - Glacial (Hostile);2 - Distant (Froid);3 - Avenant (Chaud);4 - Solaire (Empathique);Dominante des fréquences de confort.;La voix semble-t-elle sourire (chaud) ou juger (froid) ?;1: Glaçon dans le dos / 4: Couverture en laine au soleil.;Intention relationnelle : Empathie, bienveillance vs Hostilité, cynisme, froideur.;Niveau de langue (Syntaxe). Présence d'argot, d'élisions vs respect strict de la grammaire, des vers ou d'un vocabulaire rare.
Émotion;Énergie;1 - Atone (Calme);2 - Posé;3 - Dynamique;4 - Explosif (Intense);Dynamique de l'attaque des mots.;Le débit est-il monocorde/plat ou y a-t-il une tension dans les attaques ?;1: Moine en méditation / 4: Pile électrique en surchauffe.;État émotionnel : Calme, flegme, ennui vs Colère, nervosité, passion, urgence.;Débit intellectuel. Phrases courtes et saccadées (rapide) vs phrases complexes avec de nombreuses subordonnées (lent/posé).
